"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NM","New Mexico","Sierra","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.3",,,"70.0","78.2","11,436","9,559","35051","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-107.192368105928 33.1306734754366)"
"2022","NY","New York","Cattaraugus","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.4",,,"77.1","83.6","76,439","59,937","36009","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-78.6786483105561 42.2484925436508)"
"2022","NM","New Mexico","Lea","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","63.9",,,"59.2","68.5","72,452","51,145","35025","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-103.41236291919 32.7921657831422)"
"2022","NY","New York","Nassau","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","79.1",,,"76.5","81.5","1,383,726","1,090,558","36059","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-73.586732622053 40.7356883467943)"
"2022","NY","New York","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.3",,,"72.4","79.8","46,373","37,023","36033","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-74.30395346542 44.5927797283377)"
"2022","NY","New York","Monroe","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.6",,,"72.7","78.8","752,035","601,049","36055","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.6959824887076 43.1467148818856)"
"2022","NY","New York","Livingston","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.9",,,"71.9","79.6","61,516","50,735","36051","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.7746715447795 42.7287229293671)"
"2022","NY","New York","Delaware","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.8",,,"72.8","80.5","44,740","37,728","36025","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-74.9667582288989 42.198267276808)"
"2022","NE","Nebraska","Garfield","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.4",,,"66.7","75.8","1,801","1,477","31071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.9911182720622 41.9142895478018)"
"2022","NM","New Mexico","Harding","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","65.3",,,"60.3","70.3","628","544","35021","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.81995879697 35.857671856338)"
"2022","NE","Nebraska","Arthur","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.7",,,"66.1","75.1","433","333","31005","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-101.695898453118 41.5690395863461)"
"2022","NE","Nebraska","Johnson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.9",,,"67.5","75.8","5,287","4,333","31097","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-96.2651014055988 40.392522032894)"
"2022","NJ","New Jersey","Hunterdon","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","73.6",,,"69.6","77.2","129,777","105,499","34019","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-74.9124851360962 40.5676465335377)"
"2022","NY","New York","Chemung","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.9",,,"72.0","79.7","81,426","64,456","36015","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-76.7597380991482 42.1409310401637)"
"2022","NE","Nebraska","Sheridan","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.3",,,"70.3","77.7","4,996","3,915","31161","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-102.408984015817 42.5045429279252)"
"2022","NE","Nebraska","Morrill","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.0",,,"66.5","75.1","4,527","3,498","31123","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.010622449925 41.7155952353238)"
