"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPop18plus","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","58104","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.4",,,"71.3","77.1","36,237","48,150","POINT (-96.8384336 46.7931787)","58104","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58004","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.8",,,"75.2","80.4","169","224","POINT (-97.2707227 47.0264754)","58004","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58105","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","65.7",,,"61.4","69.8","2,510","2,524","POINT (-96.8036388 46.8958843)","58105","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58222","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.0",,,"74.4","81.3","207","257","POINT (-97.6821983 48.6185373)","58222","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58060","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.8",,,"71.5","77.9","1,120","1,487","POINT (-97.4266864 46.2677153)","58060","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58061","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.9",,,"72.0","79.5","269","362","POINT (-96.8942034 46.274595)","58061","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58035","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.4",,,"74.2","80.5","175","225","POINT (-97.430516 47.253416)","58035","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58005","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.0",,,"73.0","78.8","514","783","POINT (-96.9509958 47.0526145)","58005","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58036","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"74.7","80.3","285","389","POINT (-96.9632628 47.1546304)","58036","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58201","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.9",,,"70.3","77.4","33,611","42,598","POINT (-97.1411441 47.8666381)","58201","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58202","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","64.4",,,"59.6","68.9","2,595","2,650","POINT (-97.075139 47.9214601)","58202","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58223","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.9",,,"72.1","79.6","175","235","POINT (-97.0164439 47.5196338)","58223","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58225","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.5",,,"73.0","79.8","801","1,024","POINT (-97.2227786 48.6112378)","58225","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58062","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.9",,,"73.7","80.1","116","132","POINT (-97.8395162 46.6375373)","58062","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58038","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"75.6","80.4","235","310","POINT (-96.9947841 47.2450707)","58038","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58006","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.8",,,"73.9","79.6","303","392","POINT (-97.2036008 47.0968242)","58006","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58040","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.5",,,"69.2","77.7","840","1,093","POINT (-97.6849995 46.1894953)","58040","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58203","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","70.9",,,"67.2","74.5","13,061","16,165","POINT (-97.1654903 47.9704774)","58203","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58227","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.2",,,"75.4","81.1","372","452","POINT (-97.8927089 48.5490957)","58227","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58063","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.4",,,"71.5","79.1","210","281","POINT (-97.7975837 46.9590338)","58063","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58064","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.4",,,"75.9","80.8","321","410","POINT (-97.6324892 47.1396117)","58064","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58007","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.0",,,"76.3","81.5","86","111","POINT (-97.4572417 47.0251917)","58007","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58067","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.7",,,"72.7","80.5","199","262","POINT (-97.4986898 46.0728777)","58067","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
