"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","NY","New York","Ontario","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.7",,,"73.6","79.9","112,508","36069","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-77.3034967 42.8563575)"
"2021","OR","Oregon","Lincoln","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","63.6",,,"57.7","69.2","50,862","41041","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-123.9112121 44.6410607)"
"2021","NM","New Mexico","San Miguel","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","63.4",,,"57.6","68.9","27,150","35047","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-104.8035189 35.4768585)"
"2021","OK","Oklahoma","Latimer","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.7",,,"70.1","80.7","9,427","40077","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-95.2722625 34.8751365)"
"2021","IA","Iowa","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.5",,,"70.9","79.9","19,368","19097","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.5745819 42.1642256)"
"2021","KY","Kentucky","Harrison","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.7",,,"68.3","78.7","18,950","21097","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-84.3341313 38.4445776)"
"2021","AL","Alabama","Houston","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.4",,,"70.9","79.9","107,458","01069","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.2964111 31.1581831)"
"2021","OK","Oklahoma","Blaine","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","72.1",,,"67.3","77.8","8,562","40011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.4290308 35.8777951)"
"2021","MO","Missouri","Howard","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.7",,,"70.8","80.2","10,168","29089","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-92.6959255 39.143365)"
"2021","MD","Maryland","Dorchester","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.5",,,"69.0","77.6","32,489","24019","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-76.0474333 38.4291957)"
