"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","WA","Washington","Pacific","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.8",,,"71.2","78.1","24,200","20,677","53049","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-123.705526977151 46.5554327139802)"
"2023","WI","Wisconsin","Columbia","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","72.8",,,"68.7","76.6","58,091","46,376","55021","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.3334381762567 43.4665785622649)"
"2023","WI","Wisconsin","Eau Claire","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.2",,,"71.5","78.3","107,903","86,787","55035","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.2860572491138 44.7267727831359)"
"2023","WI","Wisconsin","Vilas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","73.7",,,"69.8","77.4","23,885","20,060","55125","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.5147032960432 46.0528283109831)"
"2023","WV","West Virginia","Ritchie","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.7",,,"73.6","81.3","8,167","6,554","54085","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.0627854058713 39.1779944001672)"
"2023","WA","Washington","Kitsap","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.1",,,"69.0","74.9","277,658","224,070","53035","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-122.673454976008 47.6133926334319)"
"2023","WA","Washington","Jefferson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.7",,,"75.5","81.7","33,714","30,013","53031","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-123.594047250427 47.7491000957336)"
"2023","WI","Wisconsin","Brown","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.6",,,"74.5","80.5","271,417","209,911","55009","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-88.003761568209 44.4524309489072)"
"2023","WV","West Virginia","Calhoun","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.1",,,"73.0","81.0","5,959","4,871","54013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.1171562125043 38.8442506055535)"
"2023","WA","Washington","Lewis","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","68.7",,,"64.9","72.4","86,154","67,577","53041","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-122.39380108932 46.5776116518185)"
